Asset ID,Product/Lane,Campaign,Topic/Hook,Contect Role,File Name,Asset Type,Platform,Status,Published Date,Metric ID,Product CTA,GitHub URL,Reusable?,Next Action,Notes
BD-VID-003,DIY Website Blueprint,DIY-02,Your Website Doesn't Start With Wix,Sales / Authority Video,03_DIY_Website_Blueprint.mp4,Video,Multi-platform,READY,,,DIY Website Blueprint,https://github.com/mandymulvihill17-ui/built-different-media/raw/refs/heads/main/03_DIY_Website_Blueprint.mp4,YES,READY TO SCHEDULE,Grok-produced approved video asset.
BD-VID-004,SEO Without the Sorcery,SEO-01,SEO Isn't Something You Add to a Website,Sales / Authority Video,04_SEO_Without_The_Sorcery.mp4,Video,Multi-platform,READY,,,SEO Without the Sorcery,https://github.com/mandymulvihill17-ui/built-different-media/raw/refs/heads/main/04_SEO_Without_The_Sorcery.mp4,YES,READY TO SCHEDULE,Grok-produced approved video asset.
BD-VID-005-TT,Get Found Locally,GFL-01,Being Local Doesn't Mean They Can Find You,Sales / Authority Video,get_found_locally_tiktok.mp4,Video,TikTok,SCHEDULED,2026-09-23 09:00 ET,380456184,Get Found Locally,https://github.com/mandymulvihill17-ui/built-different-media/raw/refs/heads/main/get_found_locally_tiktok.mp4,YES,WAIT FOR PUBLISH,"Scheduled by Claude/Metricool. Caption CTA: Get Found Locally — $79 CAD, link in bio."
BD-VID-005-IG,Get Found Locally,GFL-01,Local SEO Isn't One Thing,Sales / Authority Video,get_found_locally_reel.mp4,Video,Instagram Reel,SCHEDULED,2026-09-23 16:00 ET,380456214,Get Found Locally,https://github.com/mandymulvihill17-ui/built-different-media/raw/refs/heads/main/get_found_locally_reel.mp4,YES,WAIT FOR PUBLISH,"Scheduled by Claude/Metricool. Caption CTA: Get Found Locally — $79 CAD, link in bio."
BD-DIY-001-PIN,DIY Website Blueprint,DIY-01,The Order You Should Actually Build Your Business Website In,Sales / Campaign Post,,Pin,Pinterest,PUBLISHED,2026-09-22 18:00 ET,380223783,DIY Website Blueprint,,YES,NONE,Reconciled from Metricool audit.
BD-DIY-002-THR,DIY Website Blueprint,DIY-01,Most people building their first business website start with Wix or Squarespace…,Sales / Campaign Post,,Post,Threads,PUBLISHED,2026-09-22 18:30 ET,380223845,DIY Website Blueprint,,YES,NONE,Reconciled from Metricool audit.
BD-DIY-003-PIN,DIY Website Blueprint,DIY-01,Step 1: Decide the ONE Action…,Sales / Campaign Post,,Pin,Pinterest,PENDING,2026-09-23 10:00 ET,380223897,DIY Website Blueprint,,YES,WAIT FOR PUBLISH,Reconciled from Metricool audit.
BD-DIY-004-IG,DIY Website Blueprint,DIY-01,Most people build their first business website backwards…,Sales / Campaign Post,,Carousel,Instagram,PENDING,2026-09-23 11:00 ET,380223932,DIY Website Blueprint,,YES,WAIT FOR PUBLISH,Reconciled from Metricool audit.
BD-DIY-005-FB,DIY Website Blueprint,DIY-01,Most people build their first business website backwards…,Sales / Campaign Post,,Carousel,Facebook,PENDING,2026-09-23 14:00 ET,380223977,DIY Website Blueprint,,YES,WAIT FOR PUBLISH,Same campaign/copy as IG. Reconciled from Metricool audit.
BD-DIY-006-PIN,DIY Website Blueprint,DIY-01,Step 2: List Only the Pages…,Sales / Campaign Post,,Pin,Pinterest,PENDING,2026-09-24 10:00 ET,380224036,DIY Website Blueprint,,YES,WAIT FOR PUBLISH,Reconciled from Metricool audit.
BD-DIY-007-PIN,DIY Website Blueprint,DIY-01,Step 3: THEN Pick Your Platform,Sales / Campaign Post,,Pin,Pinterest,PENDING,2026-09-25 10:00 ET,380224107,DIY Website Blueprint,,YES,WAIT FOR PUBLISH,Reconciled from Metricool audit.
BD-DIY-008-PIN,DIY Website Blueprint,DIY-01,Get the Full Plan: DIY Website Blueprint,Sales / Campaign Post,,Pin,Pinterest,PENDING,2026-09-26 10:00 ET,380224151,DIY Website Blueprint,,YES,WAIT FOR PUBLISH,Reconciled from Metricool audit.
